Scotland,Woman,OnBreakOrWorking,CurrentBreakLength,CurrentBreakReason,CurrentBreakObstacles,CurrentBreakWhenReturn,WorkingArrangements,WorkingChanges,WorkingBreakLength,WorkingBreakReason,WorkingBreakObstacles,MultipleCareerBreaksNumber,MultipleCareerBreaksTotaLenth,MultipleCareerBreaksReasons,MultipleCareerBreaksDiffImpact,AllWorkMeaning,AllBreakActivity,SupportAffordableChildcare,SupportFlexWorkEmployers,SupportThroughEmployer,AllCharacteristics,AllChildrenInHousehold,AllChildrenWithASN,AllAge,AllEducation,AllYearsWorkexperience,AllEthnicity,AllPostcode
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work","Nothing has changed, I picked up after my break where I had left;",6 months to 2 years,Maternity Leave;,Career switch (unsure what);,"Yes, two separate breaks of at least 6 months each",Less than 2 years,Same or related reasons,No – the first or earlier break(s) had the main negative impact,Earning money to provide for myself/my family;Giving my personal best;Being a positive role model;Fulfilment;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Perimenopausal or Menopausal;LGBTQIA+;,2 children,No,40 to 49 years,Bachelor's degree or equivalent,Over 20 years,White Other British,Eh15
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I am now working below my former career level;I am earning less;I have a better (work)life balance;,6 months to 2 years,Maternity Leave;,Lack of care provision;Lack of affordable care;Lack of support (family/network) ;Lack of flexible jobs;,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Following my ambition;Fulfilment;Contributing to society;Meeting family expectations;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Lone parent;,1 child,No,40 to 49 years,Bachelor's degree or equivalent,Over 20 years,White Scottish,Ph2
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",My career progressed/ developed after my break;I am earning more;I am more confident in my skills/the work I do;,6 months to 2 years,Self employment contract not continued due to organisation deciding they wanted fulltime person plus I wasn't that fussed about continuing on with that organisation anyway;,Lack of jobs (salary/experience);Lack of jobs (with progression);,"No, only one break of 6 months or more",,,,Making change for future generations;Contributing to society;Being a positive role model;Earning money to provide for myself/my family;Fulfilment;,Volunteering;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,N/A,N/A,N/A,None;,No child,,50 to 59 years,Master's dregree or equivalent,Over 20 years,New Zealander,EH12
Yes,Yes,onbreak,2 to 5 years,Other Caring Responsibilities;,Lack of affordable care;Lack of care provision;,In about a year,,,,,,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Contributing to society;Fulfilment;,Unpaid caring responsibility (other than your own children);,no need for this,very helpful,nice to have,Caring for an adult relative;,No child,,50 to 59 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Scottish,ML6 7QN
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;I am now working below my potential/skills;I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;I have a better (work)life balance;,6 months to 2 years,Maternity Leave;,Timing not right;Lack of flexible jobs;Unsuccessful applications;,"Yes, two separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,No – the first or earlier break(s) had the main negative impact,"Earning money to provide for myself/my family;Contributing to my savings/retirement;Fulfilment;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Mental stimulation away from looking after young children ;",Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;,2 children,No,40 to 49 years,Master's dregree or equivalent,15-20 years,White Other British,EH49
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;My career progressed/ developed after my break;I am now working fewer hours than before/ I would like to/ am able to ;I changed career;I am earning less;I have a better (work)life balance;I am less confident in my skills/ the work I do;,more than 5 years,Maternity Leave;Childcare;,Lack of flexible jobs;Concerns over leaving my children in others care;Lack of jobs (local area);,"Yes, two separate breaks of at least 6 months each",more than 5 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Fulfilment;Contributing to my savings/retirement;Contributing to society;Status;,Volunteering;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;Studying - full-time or part-time;,very helpful,very helpful,very helpful,Motherhood;,3 children,Yes,40 to 49 years,Master's dregree or equivalent,15-20 years,White Scottish,EH26 
Yes,Yes,onbreak,6 months to 2 years,Become self employed to pursue own business ;,Lack of jobs (salary/experience);Career switch (can’t afford);,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Independence from other people's decisions;",Self employed ;,no need for this,very helpful,nice to have,"Motherhood;Caring for a child with additional support needs (of any age);Lone parent;Perimenopausal or Menopausal;Mental health issues;ADHD, autism or other neurodivergence ;Experience of trauma;",2 children,Yes,40 to 49 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Up to 5 years,Any other White ethnic group,EH15 2RJ 
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",My career progressed/ developed after my break;I am earning more;My stress levels have increased ;I am more confident in my skills/the work I do;,6 months to 2 years,Maternity Leave;,I felt fully supported and had a totally flexible contract so could work compressed hours that suited me;,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Financial independence;Contributing to my savings/retirement;Fulfilment;Being a positive role model;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;,1 child,No,30 to 39 years,Bachelor's degree or equivalent,15-20 years,Any mixed or multiple ethnic groups,EH4
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;My stress levels have increased ;I dont have as much flexibility in where I work (home/office) and I work fewer but longer days.;,6 months to 2 years,Maternity Leave;Childcare;,Lack of care provision;,"Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,No – the first or earlier break(s) had the main negative impact,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Following my ambition;",Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Perimenopausal or Menopausal;Mental health issues;,2 children,No,30 to 39 years,Doctoral (PhD) or equivalent,5-10 years,White Scottish,FK1
Yes,Yes,onbreak,more than 5 years,Health reasons/disability/recovery;,Health issue (lack of support);Lack of jobs (local area);Lack of jobs (salary/experience);Lack of market insight;Lack of confidence in skills/experience;Lack in confidence;Not knowing where to start;Unsuccessful applications;Discrimination (career gap);Discrimination (age/gender/ethnicity);,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,"Contributing to my savings/retirement;Fulfilment;Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;",No not been well enough.;,no need for this,very helpful,very helpful,Older woman (55+);Disabled or chronic health condition;Minority ethnic woman;,No child,,50 to 59 years,Master's dregree or equivalent,15-20 years,"Indian, Indian Scottish or Indian British",EH12
Yes,Yes,onbreak,more than 5 years,Childcare;Burn-out;,Not knowing where to start;Lack in confidence;Lack of jobs (with progression);Lack of flexible jobs;Health issues (unable to work);Not many part time & flexible roles ;,Immediately,,,,,,"No, only one break of 6 months or more",,,,Financial independence;Fulfilment;Making change for future generations;Contributing to society;Being a positive role model;,I've completed some courses to strengthen skills & knowledge & have tried to establish myself as solo trader but have found this very very hard due to confidence & so much about building a business & marketing which I just didn't know about.  ;Unpaid caring responsibility (other than your own children);,no need for this,very helpful,nice to have,"Perimenopausal or Menopausal;Motherhood;Mental health issues;My mental health issues relate to burnout & career break.  Anxiety, low confidence & negative mindset at times.  ;",2 children,Yes,40 to 49 years,Master's dregree or equivalent,10-15 years,White Scottish,EH9
